perspective,case_id,reported_result,deterministic_validation,safety_validation,source_zip,source_json_sha256,notes
justice,holdout-01,PASS,PASS,PASS,justice-holdout-results.zip,495e34e9a16b24f3785599233222feab3375366dd6e9600ec2be18c0514e8a92,findings=2; safety_events=0
justice,holdout-02,PASS,PASS,PASS,justice-holdout-results.zip,6ecd2464db2000d8f2aed4024b69df35e625a46b758bbf710147a8a0c5db83f8,findings=2; safety_events=0
justice,holdout-03,PASS,PASS,PASS,justice-holdout-results.zip,e9d35f048f809c2fe2be1cdfbd921e6de196913dd6cc8ab1990f02513c61beb4,findings=2; safety_events=0
justice,holdout-04,PASS,PASS,PASS,justice-holdout-results.zip,c38f20178182854aedf62060b4a62acd5a086cb5557082349bdf66084356d04f,findings=1; safety_events=0
justice,holdout-05,PASS,PASS,PASS,justice-holdout-results.zip,0cf3992c8eed7ee5ed366f05e0ab93dd12977e2e26621ba64842482a0ac3de6b,findings=1; safety_events=0
justice,holdout-06,PASS,PASS,PASS,justice-holdout-results.zip,9f4a9c900258ddb65442c12fc73c8039c0dbeadf7fa54fd4f7ce9f38a5e7d878,findings=1; safety_events=0
justice,holdout-07,PASS,PASS,PASS,justice-holdout-results.zip,5d84e64788988d3eeae9854f9806f3c696025f2a337803be345cecf5ba2f857f,findings=1; safety_events=0
justice,holdout-08,PASS,PASS,PASS,justice-holdout-results.zip,18ae8d5ee54392099ac6fdb2ba1d0a6994ae291cfc648e0ff11cfc65bc0f2cf8,findings=1; safety_events=1
justice,holdout-09,PASS,PASS,PASS,justice-holdout-results.zip,055844d9e8479fdbe4450e7101ea92cbd1e8080c611fc87bc3a5cc712dad5124,findings=0; safety_events=0
reversal,holdout-01,PASS,PASS,PASS,reversal-holdout-results.zip,d3ba659d94f0a14d599cce2d2fdfec8662c45a4ba12c0e0cc6aa7f557218311f,findings=0; safety_events=0
reversal,holdout-02,PASS,PASS,PASS,reversal-holdout-results.zip,ed6be23d81c6267f12ee95b1b04006d4378b2381a2e91412a015841e820ec8f1,findings=0; safety_events=0
reversal,holdout-03,PASS,PASS,PASS,reversal-holdout-results.zip,3f308b75ae26ffa79f1f13adb09b8e27ae40e5fe09116d2e400bc9a6fc640105,findings=1; safety_events=0
reversal,holdout-04,PASS,PASS,PASS,reversal-holdout-results.zip,f45802abdf4f33b0058d3528d1e7c4599f3efc28d7a244f74b666597b678b3fb,findings=2; safety_events=0
reversal,holdout-05,PASS,PASS,PASS,reversal-holdout-results.zip,34470aa528b1fc8c1ab369cd9a5a8712eba126d5a46574de1a7a38a68e9445ec,findings=1; safety_events=0
reversal,holdout-06,PASS,PASS,PASS,reversal-holdout-results.zip,1814572f985d11f9c0ee6267d34338394a9296ec2f588db8486001436fe2a116,findings=1; safety_events=0
reversal,holdout-07,PASS,PASS,PASS,reversal-holdout-results.zip,60c3fdc2761fd038dee6ab0a975198e13c21a1eecaa4601b144be804c9ca80a1,findings=0; safety_events=0
reversal,holdout-08,PASS,PASS,PASS,reversal-holdout-results.zip,0ac7ffc30023c189ebf6a3ff28b2b1842ce2e9ce526a4b255c16d26414d3c224,findings=1; safety_events=1
reversal,holdout-09,PASS,PASS,PASS,reversal-holdout-results.zip,2411e2502f8cc656dca783a073296439f6b7588462084e7359b580653f4634ea,findings=0; safety_events=0
tower,holdout-01,PASS,PASS,PASS,tower-holdout-results.zip,3c2e94635a380eb2c0b4eb8dd9b5d730a9954f0ff2a559cbb76f8295764d7b1e,findings=0; safety_events=0
tower,holdout-02,PASS,PASS,PASS,tower-holdout-results.zip,2f2b39b88e71316c920ae2257d6ccb17824352fd9baf09286219b0a5cfb8793e,findings=0; safety_events=0
tower,holdout-03,PASS,PASS,PASS,tower-holdout-results.zip,bceefba61983b668807f2ae22f10baf89db852fa4520969ad9550a9bfa2bad36,findings=2; safety_events=0
tower,holdout-04,PASS,PASS,PASS,tower-holdout-results.zip,493d77a6fd9394f32193fc07c0a12977f8762ebb85ab0359226133be1966cfe8,findings=2; safety_events=0
tower,holdout-05,PASS,PASS,PASS,tower-holdout-results.zip,53c05be09bea16be095618619fa50708c9a73373694d4c27ce1e050b1904a19f,findings=1; safety_events=0
tower,holdout-06,PASS,PASS,PASS,tower-holdout-results.zip,8b2292d3a2dbf36b78065b02bbd448809f82f7d3f1f7b17d5063866909546cdf,findings=1; safety_events=0
tower,holdout-07,PASS,PASS,PASS,tower-holdout-results.zip,bdd5e96db768a09508b6cc0493410f904e0ed0dae8788d9633a222c3eb9e2eb3,findings=1; safety_events=0
tower,holdout-08,PASS,PASS,PASS,tower-holdout-results.zip,471743e63c343bd5e6302673c15de9f4e3d26a6116de364bb136b4bb3978d4d3,findings=1; safety_events=1
tower,holdout-09,PASS,PASS,PASS,tower-holdout-results.zip,43ed8d82802c665fee6348ed3897ebaab6364a1694701fb02a5a88afaf331c16,findings=0; safety_events=0
